	2	-0.812
#HappyBDayJoanaM	193	0.227859153713
#HappyBDayJohnnyChrist	800	0.2572096875
#HappyBJaxonBieber	239	0.186512343096
#HappyBNicoleBahls	497	0.247539906103
#HappyBdayDanFromBraziliansDirectioners	179	0.284633147114
#HappyBirthdayBoaDaPan	370	0.176798243243
#HappyBirthdayKendallSchmidt	1023	0.244097865754
#HappyBirthdayKevinJonas	364	0.272210119048
#HappyBirthdaySiva	44	0.247943181818
#HappyBirthdayTrishaMalik	500	0.214838266667
#Hobbiton	12	-0.210666666667
#HojeTemLSEmPompanoBeachEUA	617	0.242472447326
#HojeTemRene	262	0.208338167939
#Há3AnosAtrasComeçouUmSonhoMalhaçaoID	838	0.273219828958
#IFoundYou	37	0.249797297297
#ImStayingUpForIFoundYou	19	0.314929824562
#ImagineSe	1501	0.266270874972
#Interact50Years	48	0.308791666667
#InvasãoDosSubs	96	0.159012152778
#IrmãZuleideChat	1072	0.209541495647
#IveteNaEliana	365	0.279038812785
#IveteNoAgoraéTarde	3045	0.235442189381
#IveteNoCQC	2182	0.245290291781
#IveteNoCaldeirão	1190	0.240794653862
#IveteNoDomingãoDoFaustão	368	0.281722282609
#IveteNoLegendarios	406	0.213960262726
#IveteSangalonoTheVoiceBrasil	207	0.260516022544
#JaPassouDaHoraDeAssumirChaMel	178	0.213564606742
#JaymiLovesHisJcats	3	0.441
#JoeJonas	643	0.176763608087
#JonasBrothers	1170	0.171406837607
#JonasBrothersThankYouForExisting	355	0.258437558685
#JorgeeMateusNoCC2012	463	0.170780417567
#JossNoMultishow	662	0.287702467271
#JustinBieber	778	0.217577163668
#KESHAWARRIOR	99	0.145808080808
#KeatonFollowSpree	697	0.223442611191
#KobaVoltaPraTwitcam	95	0.29645877193
#KristenStewartIsOurInspiration	248	0.233187231183
#LaEstrellaSoyYoNaNick	157	0.245097664544
#LadoALado	110	0.165838268398
#LadyGagaBrazilLovesYou	308	0.213575974026
#LadyGagaNoFantástico	783	0.23903565347
#LastPremiereEpicTwilight	371	0.135970799641
#LiamWoodyOfBrazil	699	0.340717215069
#LinkinParkNaMTV	443	0.228887885628
#LittleThingsOnVEVO	593	0.0870334176504
#LoveIsEasy	64	0.208979166667
#LuaBlancoNoHED	521	0.132914011516
#LuaChat	3113	0.213669466752
#LuanSantanaDeclaraSerGayNoShow	37	0.270774774775
#LuanSantanaFezOralNoCavalo	47	0.0230425531915
#LuanSantanaNoCaldasCountry2012	2562	0.292595290138
#LuanSantanaNoFantastico	319	0.255735893417
#LuanSantanaOrgulhoMundial	193	0.366694300518
#LuanSantanaOrgulhoSempre	587	0.326074304373
#LutoSarney	17	0.290833333333
#MCLÊNCIOORIGINAL	1773	0.231179451025
#MTVStars	2236	0.211597562612
#MTVstars	848	0.205602869497
#MYWORLD	291	0.265204123711
#MagrinhoNaEztc	45	0.140992592593
#MaitePerroniCD	17	0.184
#Malhação	533	0.190887929956
#ManuChat	906	0.225370217071
#ManuGNoEncontro	163	0.230232106339
#ManuGavassinoSKYConnect	213	0.180871048513
#MariaMercedes	55	0.0509709090909
#MelFronckowiakNoHED	1455	0.222931099656
#MelFronckowiakSambaNaCaraDoRecalque	349	0.260089541547
#MelhorasLucasTeAmamos	56	0.248151785714
#MelnaContigo	187	0.224660427808
#Mention20PeopleYouWantToMeet	1352	0.239524408284
#MentionATrueFriend	976	0.26285351776
#MeuOrgulhoSeChamaLuanSantana	510	0.380709150327
#MeuSorrisoTemNomeESeChamaAliceW	132	0.214482323232
#MiaCW7noSilvioSantos	756	0.180099404762
#MicaelBorgesAnjoNaMinhaVida	1191	0.240538553037
#MikaLACRAIA	103	0.142979288026
#MikaMeEnsinou	2616	0.258258270533
#MinasGeraisAmaOsRebeldes	916	0.207724799854
#MinhaEscolaSóPrestaPorque	407	0.304371416871
#MinhaMaeSempreDisse	3642	0.173930782406
#MinhaVidaSeBaseiaNoSeuSorrisoMelF	677	0.278481413097
#MixEspecialCom30STM	153	0.206478213508
#MyFavouriteTWMove	1	0.149
#NFLnaESPN	1992	0.23403355087
#NessaMadrugaEu	807	0.140720446097
#NesseFeriadoEu	4115	0.23976745241
#NewTWTunes	12	0.189833333333
#NicoleBahlsSeuSorrisoNosEncanta	48	0.248357638889
#NicolyVoltaProBIG	69	0.225980676329
#NoBBB	67	0.234963041933
#NosFasDeVerdadeTeAmamosMaisQueTudoGL	409	0.165653748981
#NovelasDeCrente	382	0.184496945899
#NovoClipeNoCanalF292OFICIAL	1409	0.282909474805
#OMovimentoÉSexy1D	5737	0.252454195614
#Obama2012	1264	0.350192101793
#OdeioEssaGenteQue	4385	0.168397656784
#OneDirection	1985	0.249973257767
#OneDirectionMeEnsinou	1351	0.144733296324
#OohLaLaJennel	7	0.201261904762
#OrgulhoRestart3TMMAs	354	0.287639359699
#OsLittleMonstersTeOdeiamFabiolaReipert	54	0.0854722222222
#PCA2013	1	0.889
#PEITOS	736	0.244004981884
#PaigeFollowSpree	102	0.242400326797
#PanicoNaBand	770	0.172630627706
#PapãoRumoASegundaDivisão	12	0.14075
#ParabensJoanaMachado	1061	0.193041705938
#ParabensReiDoBeat	405	0.219235720165
#ParabénsNicoleBahls	199	0.244863065327
#PaulaFernandesESeusEncantosNoCaldasCountry2012	1701	0.243447971781
#PaçocaÉBomCom	566	0.27309246172
#PeoplesChoice	2954	0.270419425638
#PiersMorganIsSmelly	9	0.252444444444
#PiersNoHaveCamerasInYourTime	742	0.327063230009
#Planeta2013	11	0.216007575758
#PolloHojeNaLifeClubFloripa	56	0.127532738095
#PolloNaJovemPanFloripa	317	0.22171871714
#PolloNaRadioTrans	629	0.204761102279
#PolloNoLegendariosNaWeb	88	0.270803030303
#PotterheadsDominamOMundo	479	0.212931156179
#PraTodoMundoOuvirRumoAos200Mil	1071	0.231901649549
#PrincipeDaMinhaVidaNJR	112	0.2565625
#ProgramaDoJô	898	0.18302969562
#ProgramadoJô	675	0.183971111111
#PromoT4F	10	0.5058
#PromocionalPEGACAO	149	0.229117449664
#ProudOfBeingAPotterhead	115	0.116774927536
#QuandoEuTranso	630	0.128781746032
#QueremosBelindaNoBrasil	2241	0.139513461252
#QueremosCamarimNoFestejaLS	96	0.258991319444
#QueremosFernandaBrumNoFestivalPromessas	3013	0.195169404801
#QueremosFernandaBrumnoFestivalPromessas	1664	0.228549178686
#QueremosMelFComoJuradaDoIdolosKids	674	0.250947823937
#QueremosMoniqueBBB13	74	0.237511261261
#QueremosSomicNoJogoDaAfinidade	640	0.253775520833
#QueremosTumPaTumPizzaENãoSplash	526	0.27006590621
#QueremosTwitcamPelos6AnosDeBDSAmanhã	84	0.0984702380953
#RHCPNAMTV	280	0.192364821429
#RHCPnaMTV	618	0.188665237325
#ROYALLE1ANOCOMPROJOTA	56	-0.308383928571
#RaimundosNoiPan	81	0.0812654320988
#RelançamentoDoClipeSuite	74	0.0327297297297
#Renascer	395	0.217262236287
#Restart	106	0.216092295597
#RestartNoTop10MTV	230	0.200901956522
#RestartNuncaVaiTerFim	293	0.17035745165
#RetornaLordVoldemort	30	0.248958333333
#RolaOuEnrola	135	0.242972222222
#SPFC	648	0.238232201646
